;Tuesday 22;;Wednesday 23;;Thursday 24;;Friday 25;;;;;;;;;
1600-1700;"TALKS: ENTRAINMENT (E1) 
Chair: Jessica Grahn";;"TALKS: SMS (S3) 
Chair: Ed Large";;"TALKS: ENTRAINMENT (E4) 
Chair: Bruno Laeng";;KEYNOTE ;;;;;;;;;
;Mattia Rosso, Marc Leman and Lousin Moumdijan;Neural entrainment meets behavior: the stability index as a neural outcome measure of auditory-motor coupling;Olivia Xin Wen and Molly Henry;Characterizing individuals’ oscillator flexibility: An online slider paradigm for temporal extrapolation;Anna Fiveash, Simone Dalla Bella, Reyna Gordon and Barbara Tillmann;The Multidimensionality of Rhythm: Separable Components of Rhythmic Abilities;Sylvie Nozaradan;Mapping between sound, brain and behavior for understanding musical meter;;;;;;;;
;Benjamin Morillon and Arnaud Zalta;Prominence of delta oscillatory rhythms in the motor cortex and their relevance for auditory perception;Harjo de Poel, Dobri Dotov, Marije Harmsen, Liset van der Hulst and Claudine Lamoth;Synchronizing to adaptively variable oscillations;Anna Kasdan, Fabrizio Pizzagalli, Alexander Chern, Alyssa Scartozzi, Andrea Burgess, Sonja Kotz, Stephen Wilson and Reyna Gordon;Identifying a brain network for musical rhythm: A functional neuroimaging meta-analysis and systematic review;;;;;;;;;;
;Jonathan Cannon and Aniruddh Patel;The shared predictive roots of motor control and beat-based timing;Lauren Fink, Prescott Alexander and Petr Janata;The influence of metronome adaptivity and auditory feedback on group tapping;Reyna Gordon, Else Eising, Maria Niarchou, 23andMe Research Team, Genlang Qtl-Gwas Working Group, Lea Davis, Nancy Cox and Simon Fisher;Examining shared genetic architecture between musical rhythm and language traits;;;;;;;;;;
;;;;;;;;;;;;;;;;
1715-1815;"TALKS: SMS (S1) 
Chair: Caroline Palmer";;"TALKS: ENTRAINMENT (E2) 
Chair: Benjamin Morillon";;"TALKS: MUSIC (M2)
Chair: Laura Bishop";;"TALKS: MEDICAL (MED)
Chair: Laurel Trainor";;;;;;;;;
;Thomas Wolf, Natalie Sebanz and Günther Knoblich;The role of period correction and continuous input from a co-performer in joint rushing;Maja Foldal, Sabine Leske, Alejandro Blenkmann, Tor Endestad and Anne-Kristin Solbakk;Attentional modulation of alpha- and beta oscillations during perception of auditory rhythms – an EEG study;Marc Leman;Co-regulated timing in music ensembles: a Bayesian listener perspective;Prisca Hsu, Emily Ready and Jessica Grahn;The Effects of Music Training, Dance Training and Parkinson's Disease on Beat Perception and Production Abilities;;;;;;;;
;Ole Adrian Heggli, Ivana Konvalinka, Morten L. Kringelbach and Peter Vuust;Self-Other Integration in Rhythmic Synchronization;Fleur L. Bouwer, Johannes J. Fahrenfort and Heleen A. Slagter;Neural entrainment underlies beat-based, but not pattern-based temporal expectations in rhythm;Carlos Eduardo Cancino-Chacón, Silvan Peter, Emmanouil Karystinaios and Gerhard Widmer;Towards Quantifying Differences in Expressive Piano Performances: Are Euclidean-like Distance Measures Enough?;Aleksandra Koprowska, Maja Serman, Torsten Dau and Jeremy Marozeau;Training synchronization with musical beat to improve speech perception in individuals with hearing loss;;;;;;;;
;Michael Schutz and Fiona Manning;Moving to Hear: Exploring the complex relationship between training, movement, and rhythm perception;Tomas Lenc, Peter E. Keller, Manuel Varlet and Sylvie Nozaradan;Selective enhancement of metric periodicities in brain response to naturalistic music: reproducibility and transformation beyond low-level auditory processing;Alan Wing, Ryan Stables, Mark Elliott, Maria Witek and Massimiliano Di Luca;Synchronisation in a virtual quartet.;Olivia Boorom, Valerie Muñoz, Camila Alviar Guzman, Christopher Kello and Miriam Lense;Hierarchical Acoustic Structure During Parent-Child Interactions of Toddlers with Typical Development and Autism Spectrum Disorder;;;;;;;;
;;;;;;;;;;;;;;;;
1830-1930;KEYNOTE;;"TALKS: MUSIC (M1) 
Chair: Olivier Senn";;"TALKS: SPEECH (SP)
Chair: Molly Henry";;"TALKS: ENTRAINMENT (E5) 
Chair: Daniel Cameron";;;;;;;;;
; Eric F. Clarke;In the wake of Henry Shaffer: approaches, events, togetherness;Nori Jacoby, Rainer Polak and Justin London;Extreme Precision in Rhythmic Interaction is Enabled by Role-Optimized Sensorimotor Coupling: Analysis and Modeling of West African Drum Ensemble Music;Yi Wei and Edward Large;Entrainment stability predicts melodic intonation therapy performance and reading fluency;Zachary Lookenbill and Leigh VanHandel;Effect of Metrical Primes on Perceived Complexity of 2:3 and 3:4 Polyrhythms;;;;;;;;
;;;Guilherme Schmidt Câmara, George Sioros and Anne Danielsen;Mapping Timing and Intensity Strategies in Drum-Kit Performance via Hierarchical Clustering and Phylogenetic Visualizations;Sophie Scott and Kyle Jasmin;The neural basis of rhythm and sensorimotor co-ordination;Alexandre Celma-Miralles, Cecilie Møller, Jan Stupacher and Peter Vuust;Neural entrainment to an ambiguous polyrhythm within distinct metrical contexts;;;;;;;;
;;;Fred Hosken;The Perception and Discrimination of Different Musical “Feels”;Courtney Hilton and Micah Goldwater;A metrical Stroop effect?: Misaligning meter with syntax disrupts sentence comprehension and sensorimotor synchronization;Erica Flaten and Laurel J Trainor;Waltz or march? Evidence for infants’ top-down meter processing of an ambiguous rhythm;;;;;;;;
;;;;;;;;;;;;;;;;
1945-2000;POSTER BLITZ;;POSTER BLITZ;;POSTER BLITZ;;POSTER BLITZ;;;;;;;;;
2000-2045;POSTERS 1;;POSTERS 2;;POSTERS 3;;POSTERS 4;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
2100-2200;"TALKS: SMS (S2) 
Chair: Justin London";;"ENTRAINMENT SYMPOSIUM (E3) 
Chair: Hugo Merchant";;"TALKS: SMS (S4) 
Chair: Marc Leman";;"TALKS: MUSIC (M3) 
Chair: Lauren Fink";;;;;;;;;
;Elodie Augier, Naila Boudiaf and Christian Graff;From sperm-whale clicking to human finger-tapping: Etho-mimetics of active reception rhythms;Caroline Palmer and Alexander Demos;Explaining entrainment and synchrony with predictive coding and dynamical systems;Thomas Kaplan, Jonathan Cannon, Lorenzo Jamone and Marcus Pearce;Modelling Entrainment as Continuous Bayesian Inference using Learned Rhythmic Prototypes;Toni Amadeus Bechtold and Maria A.G. Witek;That’s a different type of groove! – How musician’s strategies change groove experiences;;;;;;;;
;Niels Chr. Hansen, Carolyn Ee, Peter Vuust and Peter Keller;Oxytocin effects on sensorimotor synchronization;Troby Ka-Yan Lui, Jonas Obleser and Malte Wöstmann;Exploring the temporal rhythmicity in distractor suppression;Manuel Anglada-Tort, Peter Harrison and Nori Jacoby;REPP: A robust cross-platform solution for online sensorimotor synchronization experiments;Connor Spiech, Bruno Laeng, Georgios Sioros, Anne Danielsen and Tor Endestad;More Than Meter's the Eye: Divergent Roles of Pickups and Syncopation in Groove;;;;;;;;
2140;CONCERT (Dr Squiggles et al.);;Edward Large and Ji Chul Kim;Resonance, synchronization, and entrainment: What, why, and how?;CONCERT (Network performance);;CONCERT (Scandinavian fiddle music by Anne Hytta);;;;;;;;;
2200;ZOOM social;;Dobromir Dotov, Abraham Betancourt, Jorge Gámez and Hugo Merchant;Neural resonance in the primate premotor cortices during the motor preparation stage of a synchronization task with discrete periodic stimuli;ZOOM social;;;;;;;;;;;
2215;;;ZOOM social;;;;;;;;;;;;;
